id,subBooks
978-7-5085-3942-3,彩色绘本葛翠琳童话选
978-7-5615-7206-1,宋明理学研究丛书
978-7-5049-9446-2,金融犯罪辩护丛书
978-7-5457-1736-5,山西民间历史故事与剪纸
978-7-5678-0638-2,税务公务员岗位学习每日一题丛书
978-7-5130-5643-4,工商管理学术文库
978-7-5167-2772-0,弗布克HR全解手册系列
978-7-5658-2941-3,科学技术法律法规学习读本
978-7-5658-3444-8,经营管理法律法规学习读本
978-7-5093-9002-3,注释法典
978-7-5093-9057-3,实用版法规专辑
978-7-5197-2118-3,破产法文库
978-7-5093-9023-8,法律法规全书系列
978-7-5498-3416-7,幸福都市
978-7-5705-0119-9,大家学术文库
978-7-5095-8131-5,中财传媒版2018年注册会计师全国统一考试辅导系列丛书
978-7-5141-9140-0,浙江工业大学经贸管理学院区域合作与大宗商品贸易研究所学术丛书
978-7-5395-6597-2,蜗牛典藏屋
978-7-5575-4341-9,经典天天读系列
978-7-100-16039-1,中国近代警察法文丛
978-7-5658-3336-6,治安管理法律法规学习读本
978-7-5658-3330-4,生育保健类法律法规学习读本
978-7-5304-9599-5,轻松过关
978-7-5471-2554-0,军民两用交通地图系列
978-7-5093-9038-2,法律法规全书系列
978-7-5109-2249-7,中国审判指导丛书
978-7-5658-3516-2,保护草原法律法规学习读本
978-7-5130-5667-0,中国人民大学食品安全治理协同创新博士文库
978-7-5201-2499-7,四川蓝皮书
978-7-5504-3390-8,晏智杰文集
978-7-5597-0640-9,每天一个好故事
978-7-5201-3188-9,思海社会学文丛
978-7-208-15082-9,长江经济带重大战略研究丛书
978-7-5307-6749-8,奇妙逻辑推理
978-7-5580-3536-4,中国石窟艺术经典高清大图系列
978-7-5443-8539-8,潮起海之南――海南建省办经济特区30年改革开放举措丛书
978-7-303-24442-3,当代中国发展报告
978-7-5093-9005-4,注释法典
978-7-5641-7869-7,澳门城市与建筑设计教学丛书
978-7-5572-0388-7,语文新课标必读名著
978-7-5126-6519-4,黑鸟集
978-7-5580-3521-0,十二生肖守护佛敦煌壁画高清大图
978-7-5086-9237-1,中国历史通识讲堂
978-7-5093-9057-3,实用版法规专辑
978-7-5560-8393-0,小蜜蜂童书馆
978-7-5658-3330-4,生育保健类法律法规学习读本
